,year,month,region,count
0,2018,12,BRONX,7704
1,2018,12,QUEENS,7043
2,2018,12,MANHATTAN,8504
3,2018,12,BROOKLYN,10641
4,2018,12,STATEN ISLAND,1677
5,2018,4,BRONX,8481
6,2018,4,QUEENS,7784
7,2018,4,MANHATTAN,9417
8,2018,4,BROOKLYN,11742
9,2018,4,STATEN ISLAND,1773
10,2018,6,BRONX,8880
11,2018,6,QUEENS,8186
12,2018,6,MANHATTAN,9583
13,2018,6,BROOKLYN,12518
14,2018,6,STATEN ISLAND,1935
15,2018,11,BRONX,8207
16,2018,11,QUEENS,7377
17,2018,11,MANHATTAN,8755
18,2018,11,BROOKLYN,11245
19,2018,11,STATEN ISLAND,1674
20,2018,10,BRONX,9092
21,2018,10,QUEENS,8079
22,2018,10,MANHATTAN,9619
23,2018,10,BROOKLYN,11843
24,2018,10,STATEN ISLAND,1950
25,2018,9,BRONX,9378
26,2018,9,QUEENS,7987
27,2018,9,MANHATTAN,9597
28,2018,9,BROOKLYN,12220
29,2018,9,STATEN ISLAND,1884
30,2018,8,BRONX,10009
31,2018,8,QUEENS,8627
32,2018,8,MANHATTAN,10251
33,2018,8,BROOKLYN,13440
34,2018,8,STATEN ISLAND,1998
35,2018,7,BRONX,9689
36,2018,7,QUEENS,8754
37,2018,7,MANHATTAN,10308
38,2018,7,BROOKLYN,13175
39,2018,7,STATEN ISLAND,2008
40,2018,5,BRONX,9314
41,2018,5,QUEENS,8292
42,2018,5,MANHATTAN,9950
43,2018,5,BROOKLYN,12882
44,2018,5,STATEN ISLAND,2010
45,2018,3,BRONX,8177
46,2018,3,QUEENS,7468
47,2018,3,MANHATTAN,8888
48,2018,3,BROOKLYN,11223
49,2018,3,STATEN ISLAND,1910
50,2018,1,BRONX,7265
51,2018,1,QUEENS,6999
52,2018,1,MANHATTAN,8181
53,2018,1,BROOKLYN,10501
54,2018,1,STATEN ISLAND,1531
55,2018,2,BRONX,6754
56,2018,2,QUEENS,6387
57,2018,2,MANHATTAN,7527
58,2018,2,BROOKLYN,8922
59,2018,2,STATEN ISLAND,1364
60,2016,12,BRONX,8216
61,2016,12,QUEENS,8173
62,2016,12,MANHATTAN,9394
63,2016,12,BROOKLYN,11828
64,2016,12,STATEN ISLAND,1839
65,2016,4,BRONX,58
66,2016,4,QUEENS,58
67,2016,4,MANHATTAN,86
68,2016,4,BROOKLYN,94
69,2016,4,STATEN ISLAND,15
70,2016,6,BRONX,75
71,2016,6,QUEENS,119
72,2016,6,MANHATTAN,125
73,2016,6,BROOKLYN,130
74,2016,6,STATEN ISLAND,31
75,2016,11,BRONX,8352
76,2016,11,QUEENS,8439
77,2016,11,MANHATTAN,9078
78,2016,11,BROOKLYN,11792
79,2016,11,STATEN ISLAND,1905
80,2016,10,BRONX,503
81,2016,10,QUEENS,602
82,2016,10,MANHATTAN,661
83,2016,10,BROOKLYN,816
84,2016,10,STATEN ISLAND,152
85,2016,9,BRONX,203
86,2016,9,QUEENS,237
87,2016,9,MANHATTAN,291
88,2016,9,BROOKLYN,342
89,2016,9,STATEN ISLAND,51
90,2016,8,BRONX,117
91,2016,8,QUEENS,122
92,2016,8,MANHATTAN,179
93,2016,8,BROOKLYN,194
94,2016,8,STATEN ISLAND,37
95,2016,7,BRONX,110
96,2016,7,QUEENS,111
97,2016,7,MANHATTAN,129
98,2016,7,BROOKLYN,152
99,2016,7,STATEN ISLAND,38
100,2016,5,BRONX,55
101,2016,5,QUEENS,62
102,2016,5,MANHATTAN,81
103,2016,5,BROOKLYN,104
104,2016,5,STATEN ISLAND,19
105,2016,3,BRONX,51
106,2016,3,QUEENS,56
107,2016,3,MANHATTAN,78
108,2016,3,BROOKLYN,88
109,2016,3,STATEN ISLAND,15
110,2016,1,BRONX,83
111,2016,1,QUEENS,100
112,2016,1,MANHATTAN,118
113,2016,1,BROOKLYN,146
114,2016,1,STATEN ISLAND,26
115,2016,2,BRONX,48
116,2016,2,QUEENS,48
117,2016,2,MANHATTAN,51
118,2016,2,BROOKLYN,70
119,2016,2,STATEN ISLAND,10
120,2012,12,BRONX,2
121,2012,12,QUEENS,2
122,2012,12,MANHATTAN,3
123,2012,12,BROOKLYN,6
124,2012,12,STATEN ISLAND,2
125,2012,4,BRONX,1
126,2012,4,QUEENS,1
127,2012,4,MANHATTAN,2
128,2012,4,BROOKLYN,4
129,2012,4,STATEN ISLAND,2
130,2012,6,BRONX,1
131,2012,6,QUEENS,2
132,2012,6,MANHATTAN,7
133,2012,6,BROOKLYN,6
134,2012,6,STATEN ISLAND,3
135,2012,11,BRONX,7
136,2012,11,QUEENS,3
137,2012,11,MANHATTAN,4
138,2012,11,BROOKLYN,5
139,2012,11,STATEN ISLAND,5
140,2012,10,BRONX,5
141,2012,10,QUEENS,5
142,2012,10,MANHATTAN,6
143,2012,10,BROOKLYN,4
144,2012,10,STATEN ISLAND,1
145,2012,9,BRONX,4
146,2012,9,QUEENS,4
147,2012,9,MANHATTAN,6
148,2012,9,BROOKLYN,4
149,2012,9,STATEN ISLAND,0
150,2012,8,BRONX,2
151,2012,8,QUEENS,3
152,2012,8,MANHATTAN,3
153,2012,8,BROOKLYN,2
154,2012,8,STATEN ISLAND,0
155,2012,7,BRONX,5
156,2012,7,QUEENS,5
157,2012,7,MANHATTAN,1
158,2012,7,BROOKLYN,5
159,2012,7,STATEN ISLAND,3
160,2012,5,BRONX,2
161,2012,5,QUEENS,3
162,2012,5,MANHATTAN,1
163,2012,5,BROOKLYN,7
164,2012,5,STATEN ISLAND,1
165,2012,3,BRONX,0
166,2012,3,QUEENS,0
167,2012,3,MANHATTAN,5
168,2012,3,BROOKLYN,4
169,2012,3,STATEN ISLAND,1
170,2012,1,BRONX,14
171,2012,1,QUEENS,8
172,2012,1,MANHATTAN,13
173,2012,1,BROOKLYN,32
174,2012,1,STATEN ISLAND,1
175,2012,2,BRONX,3
176,2012,2,QUEENS,1
177,2012,2,MANHATTAN,4
178,2012,2,BROOKLYN,6
179,2012,2,STATEN ISLAND,0
180,2017,12,BRONX,7279
181,2017,12,QUEENS,7420
182,2017,12,MANHATTAN,8011
183,2017,12,BROOKLYN,10683
184,2017,12,STATEN ISLAND,1569
185,2017,4,BRONX,8578
186,2017,4,QUEENS,8008
187,2017,4,MANHATTAN,9019
188,2017,4,BROOKLYN,12148
189,2017,4,STATEN ISLAND,1934
190,2017,6,BRONX,9260
191,2017,6,QUEENS,8713
192,2017,6,MANHATTAN,10058
193,2017,6,BROOKLYN,12739
194,2017,6,STATEN ISLAND,2113
195,2017,11,BRONX,8389
196,2017,11,QUEENS,7586
197,2017,11,MANHATTAN,8827
198,2017,11,BROOKLYN,11227
199,2017,11,STATEN ISLAND,1775
200,2017,10,BRONX,9638
201,2017,10,QUEENS,8858
202,2017,10,MANHATTAN,10018
203,2017,10,BROOKLYN,13529
204,2017,10,STATEN ISLAND,1925
205,2017,9,BRONX,9410
206,2017,9,QUEENS,8576
207,2017,9,MANHATTAN,9876
208,2017,9,BROOKLYN,12877
209,2017,9,STATEN ISLAND,2023
210,2017,8,BRONX,9845
211,2017,8,QUEENS,9022
212,2017,8,MANHATTAN,10235
213,2017,8,BROOKLYN,13657
214,2017,8,STATEN ISLAND,2066
215,2017,7,BRONX,9686
216,2017,7,QUEENS,9009
217,2017,7,MANHATTAN,10277
218,2017,7,BROOKLYN,13944
219,2017,7,STATEN ISLAND,1971
220,2017,5,BRONX,9373
221,2017,5,QUEENS,9129
222,2017,5,MANHATTAN,10391
223,2017,5,BROOKLYN,13407
224,2017,5,STATEN ISLAND,2099
225,2017,3,BRONX,8801
226,2017,3,QUEENS,8306
227,2017,3,MANHATTAN,9341
228,2017,3,BROOKLYN,12223
229,2017,3,STATEN ISLAND,1907
230,2017,1,BRONX,8463
231,2017,1,QUEENS,8276
232,2017,1,MANHATTAN,8955
233,2017,1,BROOKLYN,11629
234,2017,1,STATEN ISLAND,1811
235,2017,2,BRONX,7295
236,2017,2,QUEENS,7185
237,2017,2,MANHATTAN,8088
238,2017,2,BROOKLYN,10390
239,2017,2,STATEN ISLAND,1518
240,2014,12,BRONX,9
241,2014,12,QUEENS,11
242,2014,12,MANHATTAN,15
243,2014,12,BROOKLYN,14
244,2014,12,STATEN ISLAND,4
245,2014,4,BRONX,11
246,2014,4,QUEENS,2
247,2014,4,MANHATTAN,7
248,2014,4,BROOKLYN,4
249,2014,4,STATEN ISLAND,0
250,2014,6,BRONX,6
251,2014,6,QUEENS,9
252,2014,6,MANHATTAN,15
253,2014,6,BROOKLYN,12
254,2014,6,STATEN ISLAND,7
255,2014,11,BRONX,11
256,2014,11,QUEENS,14
257,2014,11,MANHATTAN,12
258,2014,11,BROOKLYN,16
259,2014,11,STATEN ISLAND,4
260,2014,10,BRONX,7
261,2014,10,QUEENS,8
262,2014,10,MANHATTAN,15
263,2014,10,BROOKLYN,13
264,2014,10,STATEN ISLAND,3
265,2014,9,BRONX,8
266,2014,9,QUEENS,6
267,2014,9,MANHATTAN,15
268,2014,9,BROOKLYN,15
269,2014,9,STATEN ISLAND,4
270,2014,8,BRONX,5
271,2014,8,QUEENS,10
272,2014,8,MANHATTAN,6
273,2014,8,BROOKLYN,18
274,2014,8,STATEN ISLAND,0
275,2014,7,BRONX,11
276,2014,7,QUEENS,12
277,2014,7,MANHATTAN,9
278,2014,7,BROOKLYN,10
279,2014,7,STATEN ISLAND,4
280,2014,5,BRONX,4
281,2014,5,QUEENS,7
282,2014,5,MANHATTAN,4
283,2014,5,BROOKLYN,9
284,2014,5,STATEN ISLAND,1
285,2014,3,BRONX,10
286,2014,3,QUEENS,8
287,2014,3,MANHATTAN,13
288,2014,3,BROOKLYN,16
289,2014,3,STATEN ISLAND,2
290,2014,1,BRONX,29
291,2014,1,QUEENS,18
292,2014,1,MANHATTAN,21
293,2014,1,BROOKLYN,33
294,2014,1,STATEN ISLAND,4
295,2014,2,BRONX,8
296,2014,2,QUEENS,7
297,2014,2,MANHATTAN,6
298,2014,2,BROOKLYN,11
299,2014,2,STATEN ISLAND,5
300,2007,12,BRONX,3
301,2007,12,QUEENS,1
302,2007,12,MANHATTAN,3
303,2007,12,BROOKLYN,1
304,2007,12,STATEN ISLAND,1
305,2007,4,BRONX,1
306,2007,4,QUEENS,0
307,2007,4,MANHATTAN,1
308,2007,4,BROOKLYN,4
309,2007,4,STATEN ISLAND,0
310,2007,6,BRONX,1
311,2007,6,QUEENS,1
312,2007,6,MANHATTAN,2
313,2007,6,BROOKLYN,2
314,2007,6,STATEN ISLAND,1
315,2007,11,BRONX,2
316,2007,11,QUEENS,1
317,2007,11,MANHATTAN,2
318,2007,11,BROOKLYN,2
319,2007,11,STATEN ISLAND,0
320,2007,10,BRONX,4
321,2007,10,QUEENS,0
322,2007,10,MANHATTAN,0
323,2007,10,BROOKLYN,3
324,2007,10,STATEN ISLAND,0
325,2007,9,BRONX,4
326,2007,9,QUEENS,1
327,2007,9,MANHATTAN,4
328,2007,9,BROOKLYN,2
329,2007,9,STATEN ISLAND,1
330,2007,8,BRONX,1
331,2007,8,QUEENS,0
332,2007,8,MANHATTAN,0
333,2007,8,BROOKLYN,2
334,2007,8,STATEN ISLAND,1
335,2007,7,BRONX,2
336,2007,7,QUEENS,2
337,2007,7,MANHATTAN,2
338,2007,7,BROOKLYN,2
339,2007,7,STATEN ISLAND,0
340,2007,5,BRONX,3
341,2007,5,QUEENS,1
342,2007,5,MANHATTAN,2
343,2007,5,BROOKLYN,3
344,2007,5,STATEN ISLAND,0
345,2007,3,BRONX,1
346,2007,3,QUEENS,2
347,2007,3,MANHATTAN,0
348,2007,3,BROOKLYN,1
349,2007,3,STATEN ISLAND,0
350,2007,1,BRONX,5
351,2007,1,QUEENS,5
352,2007,1,MANHATTAN,7
353,2007,1,BROOKLYN,11
354,2007,1,STATEN ISLAND,1
355,2007,2,BRONX,0
356,2007,2,QUEENS,1
357,2007,2,MANHATTAN,1
358,2007,2,BROOKLYN,3
359,2007,2,STATEN ISLAND,0
360,2015,12,BRONX,35
361,2015,12,QUEENS,33
362,2015,12,MANHATTAN,44
363,2015,12,BROOKLYN,40
364,2015,12,STATEN ISLAND,7
365,2015,4,BRONX,15
366,2015,4,QUEENS,15
367,2015,4,MANHATTAN,27
368,2015,4,BROOKLYN,16
369,2015,4,STATEN ISLAND,3
370,2015,6,BRONX,18
371,2015,6,QUEENS,16
372,2015,6,MANHATTAN,27
373,2015,6,BROOKLYN,22
374,2015,6,STATEN ISLAND,2
375,2015,11,BRONX,29
376,2015,11,QUEENS,24
377,2015,11,MANHATTAN,31
378,2015,11,BROOKLYN,48
379,2015,11,STATEN ISLAND,6
380,2015,10,BRONX,16
381,2015,10,QUEENS,36
382,2015,10,MANHATTAN,39
383,2015,10,BROOKLYN,30
384,2015,10,STATEN ISLAND,4
385,2015,9,BRONX,12
386,2015,9,QUEENS,21
387,2015,9,MANHATTAN,22
388,2015,9,BROOKLYN,22
389,2015,9,STATEN ISLAND,5
390,2015,8,BRONX,21
391,2015,8,QUEENS,26
392,2015,8,MANHATTAN,31
393,2015,8,BROOKLYN,34
394,2015,8,STATEN ISLAND,7
395,2015,7,BRONX,16
396,2015,7,QUEENS,26
397,2015,7,MANHATTAN,24
398,2015,7,BROOKLYN,20
399,2015,7,STATEN ISLAND,4
400,2015,5,BRONX,9
401,2015,5,QUEENS,14
402,2015,5,MANHATTAN,20
403,2015,5,BROOKLYN,26
404,2015,5,STATEN ISLAND,1
405,2015,3,BRONX,13
406,2015,3,QUEENS,11
407,2015,3,MANHATTAN,15
408,2015,3,BROOKLYN,27
409,2015,3,STATEN ISLAND,2
410,2015,1,BRONX,24
411,2015,1,QUEENS,37
412,2015,1,MANHATTAN,26
413,2015,1,BROOKLYN,53
414,2015,1,STATEN ISLAND,8
415,2015,2,BRONX,8
416,2015,2,QUEENS,20
417,2015,2,MANHATTAN,20
418,2015,2,BROOKLYN,21
419,2015,2,STATEN ISLAND,0
420,1995,12,BRONX,0
421,1995,12,QUEENS,0
422,1995,12,MANHATTAN,0
423,1995,12,BROOKLYN,0
424,1995,12,STATEN ISLAND,0
425,1995,4,BRONX,0
426,1995,4,QUEENS,0
427,1995,4,MANHATTAN,0
428,1995,4,BROOKLYN,0
429,1995,4,STATEN ISLAND,0
430,1995,6,BRONX,0
431,1995,6,QUEENS,0
432,1995,6,MANHATTAN,1
433,1995,6,BROOKLYN,0
434,1995,6,STATEN ISLAND,0
435,1995,11,BRONX,0
436,1995,11,QUEENS,0
437,1995,11,MANHATTAN,0
438,1995,11,BROOKLYN,0
439,1995,11,STATEN ISLAND,0
440,1995,10,BRONX,1
441,1995,10,QUEENS,0
442,1995,10,MANHATTAN,0
443,1995,10,BROOKLYN,0
444,1995,10,STATEN ISLAND,0
445,1995,9,BRONX,1
446,1995,9,QUEENS,0
447,1995,9,MANHATTAN,0
448,1995,9,BROOKLYN,0
449,1995,9,STATEN ISLAND,0
450,1995,8,BRONX,0
451,1995,8,QUEENS,0
452,1995,8,MANHATTAN,0
453,1995,8,BROOKLYN,0
454,1995,8,STATEN ISLAND,0
455,1995,7,BRONX,1
456,1995,7,QUEENS,0
457,1995,7,MANHATTAN,0
458,1995,7,BROOKLYN,0
459,1995,7,STATEN ISLAND,0
460,1995,5,BRONX,0
461,1995,5,QUEENS,0
462,1995,5,MANHATTAN,0
463,1995,5,BROOKLYN,0
464,1995,5,STATEN ISLAND,0
465,1995,3,BRONX,0
466,1995,3,QUEENS,0
467,1995,3,MANHATTAN,0
468,1995,3,BROOKLYN,0
469,1995,3,STATEN ISLAND,0
470,1995,1,BRONX,0
471,1995,1,QUEENS,0
472,1995,1,MANHATTAN,3
473,1995,1,BROOKLYN,1
474,1995,1,STATEN ISLAND,0
475,1995,2,BRONX,0
476,1995,2,QUEENS,0
477,1995,2,MANHATTAN,0
478,1995,2,BROOKLYN,0
479,1995,2,STATEN ISLAND,0
480,2013,12,BRONX,5
481,2013,12,QUEENS,5
482,2013,12,MANHATTAN,9
483,2013,12,BROOKLYN,10
484,2013,12,STATEN ISLAND,2
485,2013,4,BRONX,3
486,2013,4,QUEENS,5
487,2013,4,MANHATTAN,6
488,2013,4,BROOKLYN,5
489,2013,4,STATEN ISLAND,1
490,2013,6,BRONX,7
491,2013,6,QUEENS,10
492,2013,6,MANHATTAN,7
493,2013,6,BROOKLYN,6
494,2013,6,STATEN ISLAND,2
495,2013,11,BRONX,4
496,2013,11,QUEENS,8
497,2013,11,MANHATTAN,8
498,2013,11,BROOKLYN,5
499,2013,11,STATEN ISLAND,2
500,2013,10,BRONX,5
501,2013,10,QUEENS,4
502,2013,10,MANHATTAN,7
503,2013,10,BROOKLYN,9
504,2013,10,STATEN ISLAND,0
505,2013,9,BRONX,3
506,2013,9,QUEENS,7
507,2013,9,MANHATTAN,4
508,2013,9,BROOKLYN,17
509,2013,9,STATEN ISLAND,0
510,2013,8,BRONX,7
511,2013,8,QUEENS,4
512,2013,8,MANHATTAN,8
513,2013,8,BROOKLYN,5
514,2013,8,STATEN ISLAND,1
515,2013,7,BRONX,3
516,2013,7,QUEENS,7
517,2013,7,MANHATTAN,5
518,2013,7,BROOKLYN,12
519,2013,7,STATEN ISLAND,5
520,2013,5,BRONX,3
521,2013,5,QUEENS,5
522,2013,5,MANHATTAN,2
523,2013,5,BROOKLYN,8
524,2013,5,STATEN ISLAND,2
525,2013,3,BRONX,4
526,2013,3,QUEENS,8
527,2013,3,MANHATTAN,4
528,2013,3,BROOKLYN,7
529,2013,3,STATEN ISLAND,1
530,2013,1,BRONX,14
531,2013,1,QUEENS,14
532,2013,1,MANHATTAN,15
533,2013,1,BROOKLYN,29
534,2013,1,STATEN ISLAND,5
535,2013,2,BRONX,6
536,2013,2,QUEENS,0
537,2013,2,MANHATTAN,2
538,2013,2,BROOKLYN,5
539,2013,2,STATEN ISLAND,0
540,2011,12,BRONX,3
541,2011,12,QUEENS,5
542,2011,12,MANHATTAN,1
543,2011,12,BROOKLYN,5
544,2011,12,STATEN ISLAND,1
545,2011,4,BRONX,2
546,2011,4,QUEENS,4
547,2011,4,MANHATTAN,1
548,2011,4,BROOKLYN,3
549,2011,4,STATEN ISLAND,1
550,2011,6,BRONX,3
551,2011,6,QUEENS,6
552,2011,6,MANHATTAN,5
553,2011,6,BROOKLYN,6
554,2011,6,STATEN ISLAND,0
555,2011,11,BRONX,1
556,2011,11,QUEENS,4
557,2011,11,MANHATTAN,3
558,2011,11,BROOKLYN,5
559,2011,11,STATEN ISLAND,2
560,2011,10,BRONX,0
561,2011,10,QUEENS,0
562,2011,10,MANHATTAN,3
563,2011,10,BROOKLYN,3
564,2011,10,STATEN ISLAND,1
565,2011,9,BRONX,5
566,2011,9,QUEENS,4
567,2011,9,MANHATTAN,2
568,2011,9,BROOKLYN,7
569,2011,9,STATEN ISLAND,2
570,2011,8,BRONX,2
571,2011,8,QUEENS,2
572,2011,8,MANHATTAN,2
573,2011,8,BROOKLYN,10
574,2011,8,STATEN ISLAND,1
575,2011,7,BRONX,1
